Name,Booking Id,Country,Passport Number,Gender,Check In,Check Out,Room Type,Room Number
John Peters,526313,Kenya,4HTNQFIDE,F,10-04-2022,22-12-2022,single room,100
Colin Smith,850743,Chad,FQZUA744T,M,10-04-2022,22-12-2022,double room,113
Lindsay Johnson,950106,Saint Lucia,3NHBTIDXR,M,10-04-2022,22-12-2022,double room,114
Charles Evans,507584,Ukraine,ORTBARJMT,M,10-04-2022,22-12-2022,male dorm,300A
Karen Lawrence,493574,Indonesia,ZLHNPSVUN,M,10-04-2022,22-12-2022,male dorm,300B
Holly Brown,859448,Palestinian Territory,WW46AVAEX,M,10-04-2022,22-12-2022,double room,115
Jose Mathis,189255,Mali,K3CV07UP8,F,10-04-2022,22-12-2022,single room,101
Shirley Fleming,339382,Zambia,YPE1150GE,M,10-04-2022,22-12-2022,double room,116
Michael Miller,102648,Morocco,0UC6I9FEB,F,10-04-2022,22-12-2022,single room,102
Raymond Moses,512069,Kazakhstan,RCCMA8416,F,10-04-2022,22-12-2022,single room,"103,104"
Daniel Norris,900583,Monaco,3UM06HZT6,M,10-04-2022,22-12-2022,double room,117
Daniel Lee,566774,Belgium,6WSP4PHYO,M,10-04-2022,22-12-2022,double room,118
Hannah Price,370142,Swaziland,1Y1E0AJWA,F,10-04-2022,22-12-2022,single room,105
Ann Wade,165707,Timor-Leste,MMERX2PMK,M,10-04-2022,22-12-2022,double room,119
Ian Cunningham,442708,Montserrat,DI6M8I54B,F,10-04-2022,22-12-2022,single room,106
Nancy Shaw,585685,Sweden,OE03ZFV7G,F,10-04-2022,22-12-2022,single room,107
Richard Webb,327947,Japan,4A8RGUOS2,M,10-04-2022,22-12-2022,double room,120
Melinda Adams,161468,Iceland,0ZH9QT35P,F,10-04-2022,22-12-2022,single room,108
Chelsey Wood,442785,Armenia,KRMVP97VY,M,10-04-2022,22-12-2022,double room,121
Justin Bruce,70606,Kazakhstan,97R21NKBT,M,10-04-2022,22-12-2022,double room,122
Kelly Rogers,58947,Bulgaria,EHGNC1R2L,M,10-04-2022,22-12-2022,male dorm,300C
Wayne Novak,270046,Suriname,JR1Q5WAJY,F,10-04-2022,22-12-2022,single room,109
Ashley Gordon,663730,Azerbaijan,VBW5KPKA1,M,10-04-2022,22-12-2022,double room,123
Ashley Copeland,628923,Sierra Leone,HKJ18UP2K,M,10-04-2022,22-12-2022,male dorm,300D
Sergio Graves,505246,Angola,36HT7BF1D,F,10-04-2022,22-12-2022,single room,110
